Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Anthony Black,G,18,18,638,18.6,0.526,0.26,0.588,266,5.1,13,9.2,24.2,3.4,1.4,21.2,22.6,1.3,0.5,1.8,0.11,,anthony-black-1
2,Davonte Davis,G,18,18,634,15.3,0.545,0.418,0.133,218,1.9,13.4,7.8,15.3,2.2,0.3,16.1,19.7,1.1,0.3,1.4,0.09,,davonte-davis-1
3,Ricky Council IV,G,18,12,601,17.2,0.512,0.329,0.556,263,3.9,10.9,7.5,12.6,1.5,0.8,13.5,25.3,1.4,0.2,1.5,0.101,,ricky-counciliv-1
4,Jordan Walsh,F,18,10,458,12.1,0.46,0.355,0.24,129,8.3,16.7,12.6,5.6,2,1.7,12.4,16.9,0.5,0.3,0.8,0.069,,jordan-walsh-1
5,Makhi Mitchell,F,18,17,375,21.2,0.654,0.014,0.514,120,11.1,24.6,18.1,8.5,0.9,6.6,14.7,13.7,1.2,0.4,1.5,0.164,,makhi-mitchell-1
6,Makhel Mitchell,F,15,8,264,18,0.579,0,0.44,68,9.9,20.7,15.5,2.1,1.3,11.5,14.2,13.4,0.5,0.3,0.8,0.119,,makhel-mitchell-1
7,Nick Smith Jr.,G,7,5,186,19.3,0.493,0.355,0.237,92,1.4,6.5,4.1,15.4,2.4,0.5,8.8,30.6,0.4,0.1,0.5,0.107,,nick-smith-jr-1
8,Jalen Graham,F,17,0,173,23.3,0.634,0.03,0.258,77,6.8,16.2,11.6,8.7,1.6,6.3,22.1,27.6,0.3,0.1,0.4,0.104,,jalen-graham-1
9,Kamani Johnson,F,12,2,127,8,0.465,0,1.667,23,15.4,12.4,13.9,1.3,1.8,2.3,11,7.2,0.2,0.1,0.3,0.081,,kamani-johnson-1
10,Joseph Pinion,G,14,0,98,18.9,0.674,0.793,0.103,32,2.7,6.2,4.5,0,2.3,1,0,15.6,0.4,0,0.4,0.167,,joseph-pinion-1
11,Derrian Ford,G,11,0,35,6.2,0.769,0.5,2,6,0,6.9,3.6,9.2,0,0,33.9,8.5,0.1,0,0,0.048,,derrian-ford-1
12,Barry Dunning Jr.,G,5,0,8,-10.7,0,0.5,0,0,0,0,0,0,0,0,0,12.6,0,0,0,-0.192,,barry-dunning-jr-1
13,Cade Arbogast,G,2,0,2,0,,,,0,0,0,0,0,0,0,,0,0,0,0,-0.021,,cade-arbogast-1
14,Lawson Blake,F,2,0,2,38.7,0.438,0,1.5,2,0,0,0,0,0,0,0,86,0,0,0,0.066,,lawson-blake-1
