Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Wendell Green Jr.,G,18,18,544,23.7,0.512,0.385,0.521,284,2.3,11.3,6.8,29.9,4.2,0,13.6,28.8,1.8,0.4,2.2,0.163,,wendell-greenjr-1
2,Jaylin Williams,F,18,18,526,20.6,0.56,0.412,0.206,206,5.2,14,9.7,18.4,1.9,2.8,11,20.3,1.6,0.3,1.9,0.146,,jaylin-williams-1
3,Allen Flanigan,G,18,14,508,17.8,0.568,0.37,0.325,183,3.2,18.4,10.9,9.5,2,0.5,13.6,20.6,1.2,0.3,1.5,0.119,,allen-flanigan-1
4,Johni Broome,F,18,18,499,30,0.569,0.104,0.28,259,13.5,24.9,19.3,12.8,1.6,9,11.8,27.7,1.9,0.6,2.5,0.204,,johni-broome-1
5,K.D. Johnson,G,18,0,389,11.8,0.477,0.431,0.466,128,2.9,8.2,5.6,9.8,2.5,0,13.4,21.4,0.4,0.1,0.5,0.055,,kd-johnson-1
6,Zep Jasper,G,18,18,330,5.5,0.461,0.74,0.18,50,1.9,4.8,3.4,5.7,1.4,0.3,8.4,9.1,0.2,0,0.2,0.028,,zep-jasper-1
7,Chris Moore,F,15,4,201,7.7,0.462,0.346,0.346,38,9.3,8,8.6,9.5,1.5,2.3,26.7,10.5,0.1,0,0.1,0.028,,chris-moore-10
8,Dylan Cardwell,C,16,0,193,17,0.546,0.028,0.25,57,16.8,17.2,17,16,0.6,8.4,21.5,13.5,0.4,0.1,0.5,0.109,,dylan-cardwell-1
9,Tre Donaldson,G,18,0,185,6.1,0.353,0.441,0.176,31,0,13.3,6.7,15.7,2.8,0,19.6,12.6,-0.1,0.1,0,0.004,,tre-donaldson-1
10,Lior Berman,G,16,0,169,9.8,0.56,0.611,0.139,41,8.1,9.5,8.8,2.2,1.4,0,15.4,13.7,0.2,0,0.3,0.062,,lior-berman-1
11,Yohan Traore,F,11,0,76,1.3,0.354,0.625,0.125,13,4.9,9.7,7.3,4.6,0,1.5,19.1,14,-0.1,0,-0.1,-0.044,,yohan-traore-1
12,Chandler Leopard,G,3,0,3,-14.7,0,0.5,0,1,41.7,0,20.7,0,0,0,0,33.9,0,0,0,-0.351,,chandler-leopard-1
13,Carter Sobera,G,1,0,1,0,,,,0,0,0,0,0,0,0,,0,0,0,0,-0.026,,carter-sobera-1
14,Chance Westry,G,1,0,1,-19.9,,,,0,0,0,0,0,0,0,,0,0,0,0,-0.007,,chance-westry-1
