Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Brandon Miller,F,18,18,598,28.1,0.635,0.552,0.316,324,4.9,19.7,12.9,10.3,1.4,2.7,10,25.8,2.9,1.2,4.1,0.271,AA-2AP-AA-1NABC-AA-2SN-AA-1USBWA-AA-2W-AA-2,brandon-miller-3
2,Mark Sears,G,18,18,537,19.8,0.597,0.588,0.45,228,2.7,10.2,6.8,15.2,3,0.2,15.3,20.6,1.7,0.9,2.7,0.198,,mark-sears-1
3,Noah Clowney,F,18,18,487,20.2,0.585,0.443,0.45,183,8.8,22.3,16.1,5.9,1.1,3.1,10.7,17.7,1.5,1,2.5,0.204,,noah-clowney-1
4,Jaden Bradley,G,18,18,371,13.1,0.477,0.13,0.772,145,2,12.2,7.6,26.5,1.3,0.5,20.8,20.7,0.6,0.5,1.1,0.123,,jaden-bradley-1
5,Charles Bediako,C,18,18,367,17.7,0.585,0.063,0.241,111,12.4,14.6,13.6,5.8,1.9,7,14.6,13.6,0.9,0.8,1.6,0.179,,charles-bediako-1
6,Jahvon Quinerly,G,18,0,357,18.7,0.579,0.521,0.207,169,1.4,7.8,4.9,33,1.7,0,19.9,22.5,1.1,0.5,1.6,0.181,,jahvon-quinerly-1
7,Rylan Griffen,G,18,0,277,17.4,0.563,0.775,0.225,104,3.1,11.2,7.5,11.6,2,0.7,11.7,19.5,0.7,0.4,1.2,0.166,,rylan-griffen-1
8,Noah Gurley,F,15,0,164,15.3,0.585,0.622,0.324,51,9.7,17,13.7,4.1,1,3.5,15.8,15,0.4,0.3,0.7,0.162,,noah-gurley-1
9,Nimari Burnett,G,12,0,161,11.5,0.458,0.71,0.081,60,6.9,10.9,9.1,11.1,1.3,0,12.3,22,0.2,0.2,0.4,0.11,,nimari-burnett-1
10,Dominick Welch,G,16,0,148,7.2,0.398,0.703,0.324,36,5,16,11,5.4,0.7,2.6,14.1,16.2,0,0.2,0.3,0.071,,dominick-welch-1
11,Nick Pringle,F,17,0,141,28.5,0.762,0,0.875,61,13.1,26.4,20.3,5.8,1.5,5.4,16.6,18.6,0.6,0.3,0.9,0.269,,nick-pringle-1
12,Adam Cottrell,G,7,0,13,12.7,1,1,0,4,0,7.9,4.3,0,0,0,25,14.9,0,0,0,0.142,,adam-cottrell-1
13,Delaney Heard,G,6,0,12,12.3,1,1,0,4,10.2,8.6,9.4,0,0,0,40,20.2,0,0,0,0.109,,delaney-heard-1
14,Jaden Quinerly,G,6,0,12,3,0,0.333,0,3,20.5,0,9.4,36.1,9,0,0,24.2,0,0,0,-0.039,,jaden-quinerly-1
