Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Adam Flagler,G,18,18,629,20.4,0.541,0.502,0.283,296,1.7,7,4.2,29.1,1.5,0.2,10.5,24.1,2.5,-0.3,2.2,0.14,,adam-flagler-1
2,LJ Cryer,G,17,17,567,18.3,0.606,0.545,0.247,219,1.4,7.5,4.3,13.7,0.6,0,10,20,2,-0.4,1.7,0.117,,lj-cryer-1
3,Jalen Bridges,F,18,18,547,20.4,0.582,0.437,0.303,192,11.6,18.1,14.7,6.7,1.7,4.2,12.4,17.4,1.7,0.1,1.8,0.129,,jalen-bridges-1
4,Keyonte George,G,17,17,489,20.1,0.534,0.536,0.421,254,4.6,15.6,9.9,15.9,1.9,0.5,15.8,31.2,1.4,-0.1,1.3,0.109,,keyonte-george-1
5,Flo Thamba,F,18,18,374,13.4,0.624,0,1.269,115,10.6,20.8,15.5,6.9,1.1,0.6,24.5,15.1,0.9,0,0.8,0.089,,flo-thamba-1
6,Langston Love,G,16,1,293,14.5,0.538,0.44,0.373,94,6.8,9.2,7.9,9.5,1,0.8,9.2,17,0.8,-0.1,0.6,0.083,,langston-love-1
7,Dale Bonner,G,13,1,191,11,0.517,0.457,0.571,54,0,4.4,2.1,23,3.1,0.6,25.2,16,0.2,0,0.2,0.041,,dale-bonner-1
8,Jonathan Tchamwa Tchatchoua,F,9,0,187,17.1,0.631,0.308,0.333,56,9.2,25.7,17.2,5.3,1.3,2.5,18.1,15.1,0.5,0,0.5,0.107,,jonathan-tchamwatchatchoua-1
9,Caleb Lohner,F,18,0,168,6.6,0.422,0.348,0.391,28,8.7,33.6,20.7,3.2,2.5,0,32.3,12.3,-0.1,0.1,0,-0.005,,caleb-lohner-1
10,Josh Ojianwuna,F,14,0,165,17.9,0.58,0,0.486,54,16,16.3,16.2,3.6,1.8,0.7,12.2,15.2,0.5,0,0.5,0.121,,josh-ojianwuna-1
11,Jordan Turner,G,4,0,5,13.1,,,,1,26.5,28.3,27.3,0,0,0,,0,0,0,0,0.085,,jordan-turner-2
12,Jake Younkin,G,3,0,3,-31.5,0,1,0,0,0,0,0,0,0,0,0,34.2,0,0,0,-0.505,,jake-younkin-1
13,Zach Loveday,F,3,0,3,37.4,1,0,0,1,0,0,0,0,0,0,0,17.1,0,0,0,0.17,,zach-loveday-1
