Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Kyle Lofton,G,18,18,609,16.3,0.555,0.341,0.379,188,2.4,7.6,5.1,19.5,2.6,0.3,12.4,15.5,1.4,0.2,1.6,0.107,,kyle-lofton-1
2,Will Richard,G,18,18,498,21.5,0.672,0.626,0.366,174,3.7,16,10.1,7,1.7,1.9,7.1,16.6,1.8,0.3,2.2,0.173,,will-richard-2
3,Myreon Jones,G,18,13,474,15.5,0.503,0.592,0.233,125,1.6,15.4,8.7,17.8,2.9,0.6,9.5,14.2,0.8,0.4,1.2,0.097,,myreon-jones-1
4,Riley Kugel,G,17,11,435,21.6,0.61,0.386,0.307,187,4,11.7,8,7.5,1.9,0.4,11.6,24.2,1.3,0.2,1.5,0.137,,riley-kugel-1
5,Colin Castleton,F,13,13,433,28.5,0.584,0.043,0.636,220,6.6,21.1,14.1,21.2,1.5,9.4,16.9,26.9,1.5,0.5,2,0.185,,colin-castleton-1
6,Kowacie Reeves,G,18,0,334,13.8,0.451,0.48,0.291,139,3.7,12.5,8.2,4.6,1.4,1.1,10.1,29.8,0.1,0.1,0.3,0.031,,kowacie-reeves-1
7,Alex Fudge,F,17,7,304,10.4,0.385,0.286,0.369,89,10.2,17.5,14,7.7,1.3,2.7,10,19.2,0.1,0.2,0.3,0.038,,alex-fudge-1
8,Jason Jitoboh,C,17,5,191,7.8,0.52,0.026,0.231,48,5.2,7.9,6.6,10.2,0.6,5.8,28.2,16.8,0,0.1,0.1,0.014,,jason-jitoboh-1
9,Trey Bonham,G,15,5,152,8.5,0.448,0.61,0.415,46,2.4,13.7,8.3,13.7,3,0,24.6,22.8,-0.1,0.1,0,-0.001,,trey-bonham-1
10,Aleksander Szymczyk,F,7,0,65,14.4,0.477,0.667,0.222,19,3.8,14.2,9.2,9.1,4.4,1.4,13.1,18.7,0,0.1,0.1,0.074,,aleksander-szymczyk-1
11,Niels Lane,G,7,0,62,10.7,0.449,0,0.571,17,8,11.2,9.6,6.3,1.9,1.5,5.3,16.1,0.1,0,0.1,0.077,,niels-lane-1
12,CJ Felder,F,4,0,22,3,0.333,0.333,0,4,16.9,15.8,16.3,0,0,0,25,9.7,0,0,0,0.011,,cj-felder-1
13,Denzel Aberdeen,G,5,0,17,-7,0.202,0.333,0.5,3,0,13.6,7,10.6,0,0,11.9,26.4,-0.1,0,-0.1,-0.196,,denzel-aberdeen-1
14,Alex Klatsky,G,2,0,1,0,,,,0,0,0,0,0,0,0,,0,0,0,0,-0.024,,alex-klatsky-1
15,Jack May,G,2,0,1,0,,,,0,0,0,0,0,0,0,,0,0,0,0,-0.024,,jack-may-2
