Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Gabe Kalscheur,G,18,18,651,16.1,0.543,0.528,0.255,236,2.7,8.7,5.6,8.5,2,1.1,10.7,22.3,1.5,0.5,2,0.122,,gabe-kalscheur-1
2,Jaren Holmes,G,18,18,594,15,0.471,0.324,0.244,231,2.7,14.1,8.1,21.8,1.5,0.5,13.2,24.7,1,0.4,1.4,0.095,,jaren-holmes-1
3,Tamin Lipsey,G,18,18,551,18.6,0.545,0.126,0.345,190,6.6,12.8,9.5,30,4.5,0.5,26.5,18.3,1,0.7,1.8,0.129,,tamin-lipsey-1
4,Caleb Grill,G,15,12,457,13.1,0.573,0.863,0.363,128,1.8,16.4,8.7,9.6,2.1,0,16.7,16.8,0.8,0.4,1.2,0.104,,caleb-grill-1
5,Osun Osunniyi,F,18,17,372,25.7,0.619,0.075,0.421,153,11.6,22.1,16.6,10.5,1,10.8,12.9,21.2,1.4,0.5,1.9,0.202,,osun-osunniyi-1
6,Robert Jones,F,18,1,297,8.3,0.429,0,0.38,86,11.8,18.7,15.1,6.1,1.4,3.5,21.8,21.5,-0.1,0.3,0.2,0.024,,robert-jones-9
7,Tre King,F,18,1,295,16.3,0.537,0.167,0.282,90,10.5,25.4,17.6,0.7,3.3,1.5,13.7,18.6,0.5,0.4,1,0.131,,tre-king-1
8,Aljaz Kunc,F,9,5,207,14.7,0.568,0.74,0.34,58,2,13.7,7.5,4.8,2.6,1.4,7.9,16.3,0.5,0.2,0.7,0.13,,aljaz-kunc-1
9,Demarion Watson,G,14,0,150,9.6,0.435,0.368,0.316,23,6.3,20,12.8,7.2,1.6,7.9,18.6,9.6,0.1,0.2,0.2,0.064,,demarion-watson-1
10,Hason Ward,F,8,0,33,35.2,0.711,0,0.182,14,20.5,27.2,23.7,0,3.6,13.5,14.3,22.6,0.1,0.1,0.2,0.255,,hason-ward-1
11,Eli King,G,2,0,9,-5,0.253,0.667,0.667,2,0,16.6,7.9,0,0,0,0,23.5,0,0,0,-0.058,,eli-king-1
12,Conrad Hawley,F,2,0,4,-0.7,0,0,0,1,33.8,37.4,35.5,0,0,0,0,13.4,0,0,0,-0.034,,conrad-hawley-1
