Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Dajuan Harris Jr.,G,18,18,648,16.8,0.523,0.311,0.119,204,2.6,6.4,4.5,30.5,3.1,1,16.3,15,1.4,0.4,1.7,0.106,,dajuan-harris-1
2,Jalen Wilson,F,18,18,648,20.3,0.525,0.384,0.387,318,5.1,22.1,13.8,12.7,1.1,2.1,12.3,28.8,1.6,0.5,2.1,0.128,AA-1AP-AA-1NABC-AA-1SN-AA-1USBWA-AA-1W-AA-1,jalen-wilson-1
3,Gradey Dick,G,18,18,599,18,0.562,0.547,0.276,223,3.6,14.7,9.3,9.5,2.4,1.1,10.3,20.6,1.5,0.4,1.9,0.127,,gradey-dick-1
4,Kevin McCullar Jr.,G,18,18,573,17.3,0.531,0.345,0.549,199,3.8,21.8,13,15.8,3.1,2.2,16.4,19,1.1,0.7,1.7,0.121,,kevin-mccullar-1
5,KJ Adams Jr.,F,18,18,509,19.6,0.609,0.015,0.515,205,10,10.1,10.1,11.7,0.9,2.9,14.6,19.8,1.6,0.2,1.8,0.139,,kj-adamsjr-1
6,Joseph Yesufu,G,17,0,203,8.1,0.422,0.623,0.101,54,0,12.1,6.2,6.4,2.5,0,7.7,19.7,0,0.1,0.1,0.024,,joseph-yesufu-1
7,Bobby Pettiford,G,16,0,173,4.6,0.528,0.259,0.111,35,2.2,10.6,6.5,16.2,1,0,38.8,13.7,-0.1,0,-0.1,-0.015,,bob-pettiford-1
8,Ernest Udeh Jr.,C,13,0,104,26.5,0.861,0,0.667,31,12.3,14.1,13.2,9.6,7.1,8.1,26.2,13.1,0.3,0.2,0.5,0.207,,ernest-udeh-jr-1
9,MJ Rice,G,11,0,56,3.5,0.364,0,0,12,13.7,10.9,12.3,6.2,3,0,35.3,15.5,-0.1,0,0,-0.028,,mj-rice-1
10,Zach Clemence,F,9,0,54,19.8,0.572,0.316,0.316,21,9.4,18.1,13.9,4,2.1,7.8,15.5,24.4,0.1,0.1,0.1,0.11,,zach-clemence-1
11,Zuby Ejiofor,F,10,0,48,8.7,0.58,0,0.8,9,5.3,17.9,11.7,10.7,0,8.8,42,12.6,0,0,0,0.016,,zuby-ejiofor-1
12,Michael Jankovich,G,4,0,8,44.3,1,1,0,3,0,0,0,0,7.1,0,0,19.1,0,0,0,0.245,,michael-jankovich-1
13,Cam Martin,F,2,0,6,46.6,1,0,0,3,42.5,0,20.8,0,0,0,0,17,0.1,0,0.1,0.347,,cam-martin-1
14,Dillon Wilhite,F,1,0,2,-22.7,,,,0,0,61.2,31.2,0,0,0,100,25.5,0,0,0,-0.428,,dillon-wilhite-1
