Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Oscar Tshiebwe,F,18,18,629,32,0.602,0.011,0.651,311,20.1,29.5,24.8,8,2.6,2.5,10.8,22.6,3.3,0.5,3.8,0.244,AA-2AP-AA-2NABC-AA-2SN-AA-3USBWA-AA-2W-AA-3,oscar-tshiebwe-1
2,Jacob Toppin,F,17,16,569,20.3,0.554,0.156,0.329,212,6.4,21.3,13.8,15.4,1,2,12.7,19.9,1.8,0.1,1.9,0.131,,jacob-toppin-1
3,Antonio Reeves,G,18,6,520,19.6,0.582,0.447,0.253,233,1.2,7.1,4.1,5.8,0.8,0.7,10.3,26.8,1.9,-0.2,1.8,0.136,,antonio-reeves-1
4,Cason Wallace,G,16,16,488,17.5,0.486,0.396,0.189,191,2.6,10.2,6.4,26.4,2.6,2.6,16.3,23.2,1.1,0.2,1.2,0.1,,cason-wallace-1
5,Chris Livingston,F,18,17,456,11.7,0.486,0.32,0.34,113,6.5,17.9,12.2,5.4,1.1,1.7,12.8,15,0.7,0.1,0.7,0.063,,chris-livingston-1
6,CJ Fredrick,G,12,9,297,9.2,0.457,0.662,0.135,71,1.3,3.5,2.4,11.1,1,0,8.2,14.8,0.5,-0.1,0.3,0.046,,cj-fredrick-1
7,Sahvir Wheeler,G,9,5,252,13.4,0.452,0.191,0.088,77,1,8.9,4.9,32.9,1.7,0,15.5,17.1,0.4,0,0.4,0.066,,sahvir-wheeler-1
8,Adou Thiero,G,12,0,141,12.3,0.478,0.273,1,37,11.9,12.1,12,7,3.4,3.2,23.6,15.5,0.2,0.1,0.2,0.068,,adou-thiero-1
9,Lance Ware,F,14,1,131,10.8,0.571,0,0.313,26,9.9,19.1,14.4,10.5,0,1.7,24.6,9.6,0.2,0,0.2,0.05,,lance-ware-1
10,Daimion Collins,F,13,1,94,19.6,0.568,0,0.591,33,15.1,14,14.6,6,1.9,7.2,15.1,18.1,0.3,0.1,0.3,0.142,,daimion-collins-1
11,Ugonna Onyenso,F,5,0,17,3.5,0.143,0,0,3,22.8,23.2,23,0,3.5,6.7,12.5,24.2,-0.1,0,0,-0.096,,ugonna-onyenso-1
12,Brennan Canada,F,2,1,3,0,,,,0,0,0,0,0,0,0,,0,0,0,0,-0.03,,brennan-canada-1
13,Kareem Watkins,G,1,0,2,-22.8,0,1,0,0,0,0,0,0,0,0,0,25.7,0,0,0,-0.348,,kareem-watkins-1
14,Walker Horn,G,1,0,2,-32.4,,,,0,0,0,0,0,0,0,100,25.7,0,0,0,-0.556,,walker-horn-1
