Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Markquis Nowell,G,18,18,697,23,0.567,0.562,0.49,382,1.3,10.1,5.9,37.6,3.9,0.2,19.3,27.2,2.5,0.5,3,0.171,AP-AA-3NABC-AA-3SN-AA-3USBWA-AA-3,markquis-nowell-1
2,Keyontae Johnson,F,18,18,641,19.3,0.578,0.25,0.328,296,5,19.5,12.6,13.4,1.5,0.7,16.8,26.2,1.5,0.3,1.9,0.117,AP-AA-3NABC-AA-3,keyontae-johnson-1
3,Desi Sills,G,17,4,528,13.3,0.557,0.359,0.592,149,2,13.6,8.1,13.2,1.8,1.2,14.3,14.4,1,0.2,1.2,0.093,,desi-sills-1
4,Nae'Qwan Tomlin,F,18,18,479,17.8,0.563,0.22,0.307,173,12.1,15.5,13.9,11.3,2.3,3,15.6,17.8,1.2,0.3,1.5,0.126,,naeqwan-tomlin-1
5,Camryn Carter,G,18,18,463,7.1,0.466,0.455,0.214,115,2.6,12.6,7.8,10.7,1.5,1.2,22.6,17,-0.1,0.2,0.1,0.009,,cam-carter-1
6,Ismael Massoud,F,18,0,286,12.8,0.554,0.663,0.18,97,5.6,8.2,7,6.8,0.6,1.2,7.6,18.1,0.7,0,0.7,0.099,,ismael-massoud-1
7,Abayomi Iyiola,F,18,8,239,17,0.622,0.023,0.818,80,11.8,20.7,16.5,6.3,1.4,3.2,17.5,15.3,0.7,0.2,0.8,0.138,,abayomi-iyiola-1
8,David N'Guessan,F,11,6,183,15.4,0.684,0.033,0.767,52,8.8,12.9,10.9,6.4,1.5,2.4,21.2,14,0.4,0.1,0.4,0.098,,david-nguessan-1
9,Tykei Greene,G,16,0,155,12.2,0.497,0.2,0.314,42,12.1,15.2,13.7,5,1.8,2.1,11.1,14.4,0.2,0.1,0.3,0.08,,tykei-greene-1
10,Nate Awbrey,G,3,0,2,33.6,0.513,0,2,2,0,0,0,0,0,0,0,48.2,0,0,0,0.329,,nate-awbrey-1
