Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,K.J. Williams,F,18,18,598,23.9,0.56,0.348,0.353,266,8.9,18.7,13.5,5,1.6,2.7,8.4,24.9,2.1,-0.3,1.8,0.122,,kj-williams-1
2,Adam Miller,G,18,18,597,9.1,0.456,0.683,0.23,176,1.2,9,4.9,12.9,1.7,0.6,16.8,21.3,0.1,-0.5,-0.4,-0.026,,adam-miller-3
3,Derek Fountain,F,18,18,454,18.6,0.571,0.174,0.45,156,11.7,16.6,14,8.9,2,2.5,17,18.3,1.1,-0.2,0.9,0.08,,derek-fountain-1
4,Cam Hayes,G,17,12,433,12.1,0.455,0.537,0.244,130,0.8,14.6,7.3,22.4,1.7,0.3,13.3,19.1,0.5,-0.3,0.2,0.015,,cam-hayes-1
5,Justice Hill,G,15,5,316,4.3,0.32,0.636,0.102,68,1.5,8.9,5,19.5,2.5,0.4,20,19,-0.5,-0.2,-0.7,-0.094,,justice-hill-1
6,Trae Hannibal,G,15,3,310,18.4,0.52,0.047,0.635,125,8.9,16.9,12.7,22.6,1.7,0.4,19,23,0.6,-0.2,0.4,0.057,,trae-hannibal-1
7,Jalen Reed,F,18,1,251,8.5,0.463,0.108,0.554,76,9.1,23.6,16,5.6,0.2,4,23.3,22.2,-0.1,-0.1,-0.2,-0.037,,jalen-reed-1
8,Tyrell Ward,F,14,8,247,11.7,0.514,0.61,0.254,62,2.4,9.3,5.7,8.2,3.2,0.5,12,15.9,0.3,-0.1,0.2,0.03,,tyrell-ward-1
9,Justice Williams,G,13,6,221,6.7,0.427,0.234,0.255,50,1.6,8.5,4.9,19.3,0.5,0.6,19.8,15.5,0,-0.3,-0.2,-0.04,,justice-williams-1
10,Shawn Phillips Jr.,F,14,0,99,10.1,0.384,0,0.333,13,12.2,23.1,17.3,6.1,2.4,5.1,22.3,7.1,0,0,0,0.017,,shawn-phillips-1
11,Kendal Coleman,C,8,0,57,8.4,0.475,0,1,15,10.6,14.2,12.3,0,0,2.2,11.9,15.3,0.1,-0.1,0,0.012,,kendal-coleman-1
12,Mwani Wilkinson,F,2,0,13,12.4,1,0,0,2,0,0,0,16.8,4.6,9.6,50,8,0,0,0,0.027,,mwani-wilkinson-1
13,Parker Edwards,G,1,1,6,56.1,1.5,1,0,1,0,0,0,0,0,0,0,17.4,0,0,0,0.143,,parker-edwards-1
