Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Nick Honor,G,18,18,559,11,0.51,0.594,0.267,131,1.4,4.5,2.9,15.4,2,0,10.3,12.1,1,-0.5,0.5,0.033,,nick-honor-1
2,Kobe Brown,F,17,17,538,28,0.627,0.347,0.405,271,6.2,19.4,12.7,16,2.8,1,10.3,24.9,2.5,0,2.5,0.189,,kobe-brown-1
3,D'Moi Hodge,G,18,18,519,22.4,0.571,0.674,0.225,196,2.5,12.2,7.3,7.1,5.4,3.3,8.4,22,1.4,0.2,1.6,0.12,,dmoi-hodge-1
4,Sean East II,G,18,1,433,14.9,0.547,0.355,0.291,146,2.7,7.3,5,18.7,2.8,0.3,18.8,18.9,0.8,-0.2,0.5,0.05,,sean-east-1
5,DeAndre Gholston,G,18,8,432,16.8,0.543,0.324,0.434,183,1.5,11.6,6.5,16.1,1.5,0.6,14.2,25.1,1,-0.3,0.7,0.065,,deandre-gholston-1
6,Noah Carter,F,17,7,363,20.7,0.557,0.508,0.314,156,6.7,15.3,10.9,18.2,1.4,2.2,10.6,22.2,1.2,-0.2,1.1,0.117,,noah-carter-1
7,Mohamed Diarra,F,15,4,227,19.2,0.542,0.239,0.935,85,14.1,25.6,19.8,9,2.6,6.4,18.4,19.1,0.6,0.1,0.7,0.116,,mohamed-diarra-1
8,Tre Gomillion,G,12,7,179,13.2,0.531,0.175,0.325,52,5.7,15.5,10.5,10.5,2.6,0,16.3,16.4,0.3,0,0.2,0.054,,tre-gomillion-1
9,Aidan Shaw,F,15,2,159,13.4,0.618,0.367,0.167,41,9.7,9.9,9.8,3.6,1.5,2.5,11,12.2,0.4,-0.1,0.3,0.068,,aidan-shaw-1
10,Isiaih Mosley,F,5,2,118,20.4,0.553,0.429,0.071,60,4.3,6.7,5.5,22.6,2,3.4,18.3,31.9,0.2,-0.1,0.1,0.046,,isiaih-mosley-1
11,Ronnie Degray III,F,7,6,58,7.3,0.44,0.714,0.286,9,6.6,11.4,9,5.8,2,4.6,11.2,8.2,0.1,0,0,0.027,,ronnie-degrayiii-1
12,Kaleb Brown,G,4,0,27,7.2,0.75,0.5,0,3,0,4.9,2.4,12.4,4.3,0,50,7.9,0,0,0,-0.012,,kaleb-brown-1
13,Mabor Majak,F,4,0,15,5.6,0.526,,,2,17.1,8.8,13,0,0,8.8,51.3,6.9,0,0,0,-0.006,,mabor-majak-1
14,Ben Sternberg,G,2,0,1,-8.6,0.256,0,2,1,0,0,0,0,0,0,0,100,0,0,0,-0.498,,ben-sternberg-1
15,Jackson Francois,G,2,0,1,0,,,,0,0,0,0,0,0,0,,0,0,0,0,-0.063,,jackson-francois-1
