Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,D.J. Jeffries,F,18,18,567,14.1,0.451,0.497,0.29,151,3.6,24.1,13.3,9.6,2.7,1.9,12.8,18.9,0.4,0.7,1.1,0.078,,dj-jeffries-1
2,Dashawn Davis,G,18,18,553,12.1,0.437,0.481,0.38,151,2,7,4.4,24.1,3.9,0,18.3,17.8,0.4,0.4,0.9,0.063,,dashawn-davis-1
3,Cameron Matthews,F,18,17,528,17.5,0.544,0.146,0.635,154,9.4,16.2,12.6,16.3,3.3,1.3,19.4,15.5,1.1,0.5,1.6,0.123,,cameron-matthews-1
4,Shakeel Moore,G,18,11,503,17.5,0.53,0.457,0.202,184,2.4,10.9,6.4,17.8,2.9,1.4,16.7,24,0.9,0.4,1.2,0.098,,shakeel-moore-1
5,Tolu Smith III,F,18,18,495,27.4,0.546,0,0.742,260,16.6,19.7,18.1,15.9,1.2,2.5,14.3,30,1.8,0.4,2.2,0.174,,tolu-smith-1
6,Eric Reed Jr.,G,18,7,317,6.9,0.33,0.667,0.107,60,8.4,6.3,7.4,7.3,1.9,1.3,7.1,14.2,0,0.1,0.1,0.019,,eric-reedjr-1
7,William McNair Jr.,F,18,0,231,15.2,0.546,0.157,0.314,59,5.2,24.3,14.3,7.6,0.8,5.9,15.8,16,0.3,0.2,0.5,0.094,,william-mcnair-1
8,Tyler Stevenson,F,18,1,165,13.5,0.475,0.017,0.15,51,5.1,10.5,7.7,3,1.9,0.8,7.2,22.2,0.2,0.1,0.3,0.07,,tyler-stevenson-1
9,Shawn Jones Jr.,G,14,0,154,13.5,0.567,0.641,0.179,43,6.3,7.8,7,5.7,2.4,3.5,17.5,17.7,0.2,0.1,0.3,0.086,,shawn-jones-jr-1
10,KeShawn Murphy,F,8,0,78,13.7,0.538,0.632,0.368,24,6.2,3.4,4.9,16.3,1.6,1.7,18.3,18.6,0.1,0,0.1,0.077,,keshawn-murphy-1
11,Jamel Horton Jr.,G,3,0,27,-0.7,0.505,0.5,0.5,5,4.5,5,4.7,14.8,0,0,44.7,17.6,-0.1,0,-0.1,-0.093,,jamel-horton-1
12,Martavious Russell,G,3,0,17,-9.5,0.167,0.333,0,2,7.1,0,3.7,0,0,0,14.3,21.8,-0.1,0,-0.1,-0.191,,martavious-russell-1
13,Kimani Hamilton,F,3,0,12,35.2,0.756,0.8,0.4,5,0,0,0,0,5.1,0,14.4,30.7,0,0,0.1,0.169,,kimani-hamilton-1
14,Isaac Stansbury,G,3,0,3,-22.2,,,,0,0,0,0,0,0,0,100,17.7,0,0,0,-0.379,,isaac-stansbury-1
15,Justin Rumph,G,2,0,1,-21.1,,,,0,0,0,0,0,0,0,,0,0,0,0,-0.001,,justin-rumph-1
