Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Grant Sherfield,G,18,18,619,12.4,0.49,0.57,0.217,248,0.9,7.8,4.5,18.4,0.9,0,15.1,26.4,0.7,-0.2,0.4,0.028,,grant-sherfield-1
2,Jalen Hill,F,18,18,609,17.7,0.599,0.277,0.408,187,5.5,17.9,12,10.3,1.5,1.9,13.9,15.9,1.5,0.1,1.6,0.107,,jalen-hill-2
3,Milos Uzan,G,18,18,578,10.6,0.538,0.385,0.155,172,1,11.6,6.5,18.4,1.4,0.2,23.6,19.3,0.4,-0.1,0.3,0.021,,milos-uzan-1
4,Tanner Groves,F,18,18,448,20.3,0.58,0.333,0.358,163,7.4,28,18.2,8.9,2.1,3.5,15.3,20.3,1.1,0.4,1.4,0.127,,tanner-groves-1
5,Jacob Groves,G,18,9,296,9.9,0.486,0.581,0.108,85,2.8,13.7,8.5,5.1,1,0,12.5,20.2,0.2,-0.1,0.1,0.014,,jacob-groves-1
6,Bijan Cortes,G,16,1,279,6.7,0.482,0.35,0.35,57,0.5,10.4,5.7,22.4,1.5,1,34,13.6,-0.1,0,-0.1,-0.012,,bijan-cortes-1
7,Otega Oweh,G,15,8,256,15.8,0.498,0.048,0.494,98,8.7,12.4,10.6,2.6,4.8,1.9,18.3,26.3,0.2,0.2,0.4,0.056,,otega-oweh-1
8,Sam Godwin,F,18,0,236,21.7,0.633,0,0.727,85,18.3,15.6,16.9,8.2,1.7,5.3,14.5,15.7,0.8,0.1,1,0.162,,sam-godwin-1
9,C.J. Noland,G,13,0,193,10.3,0.508,0.721,0.209,48,2.9,7.2,5.2,10.4,1.8,0,16,15.6,0.2,0,0.1,0.026,,cj-noland-1
10,Joseph Bamisile,G,9,0,123,17,0.503,0.5,0.3,45,3.4,18.5,11.3,14.3,2.4,3.1,14.9,23.4,0.2,0.1,0.2,0.072,,joseph-bamisile-1
11,Benny Schroder,G,3,0,19,-4,0.467,0,0.6,6,14.6,13.3,14,0,0,0,43.8,32.2,-0.1,0,-0.1,-0.183,,benny-schroder-1
12,Blake Seacat,G,2,0,1,0,,,,0,0,0,0,0,0,0,,0,0,0,0,-0.036,,blake-seacat-1
13,Jake Moser,G,2,0,1,0,,,,0,0,0,0,0,0,0,,0,0,0,0,-0.036,,jake-moser-1
