Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,John-Michael Wright,G,18,18,547,11.3,0.487,0.631,0.19,181,1.8,8.6,5.2,12.8,1.6,0.6,14.5,21.4,0.5,0.1,0.6,0.045,,john-michael-wright-1
2,Bryce Thompson,G,18,18,538,12.8,0.51,0.42,0.205,210,0.7,11.8,6.2,17.5,1.3,0,16.7,25.1,0.6,0.1,0.7,0.052,,bryce-thompson-1
3,Caleb Asberry,G,18,9,511,16.6,0.614,0.746,0.413,174,1.7,15.3,8.4,12.6,1.8,1.1,16.6,18.1,1.3,0.2,1.5,0.118,,caleb-asberry-1
4,Kalib Boone,F,18,17,396,30.3,0.643,0.014,0.414,206,12.4,17.1,14.7,10.8,1.7,6.4,15.2,26.5,1.7,0.3,2,0.204,,kalib-boone-1
5,Woody Newton,F,18,12,362,10.9,0.474,0.549,0.28,91,6.6,18.3,12.4,6.9,1.4,1.5,12.3,15,0.4,0.2,0.6,0.064,,woody-newton-1
6,Moussa Cisse,C,14,3,273,16.8,0.505,0,0.491,75,10.6,27.6,19,6,0.8,7.6,15.6,15.6,0.3,0.3,0.6,0.09,,moussa-cisse-1
7,Chris Harris Jr.,G,18,0,262,3.5,0.343,0.75,0.135,45,2.9,8.4,5.6,10.3,2,0.8,22.4,14,-0.3,0.1,-0.2,-0.03,,chris-harrisjr-1
8,Tyreek Smith,F,18,4,251,17.7,0.557,0.029,1.176,69,14.1,14,14,3.7,1.4,10,18.5,13.3,0.5,0.2,0.7,0.112,,tyreek-smith-1
9,Avery Anderson III,G,9,9,238,10,0.423,0.272,0.383,89,0.5,13.1,6.7,29.2,1,1.4,19.4,25.6,0,0,0,0.007,,avery-andersoniii-1
10,Quion Williams,G,16,0,198,9.9,0.433,0.352,0.148,60,10.2,13.1,11.6,16.3,2,1.1,21.7,19.1,0.1,0.1,0.1,0.029,,quion-williams-1
11,Bernard Kouma,F,6,0,12,7.1,0.5,0,0,2,10.5,21.7,16,0,4.8,0,33.3,12.8,0,0,0,0.034,,bernard-kouma-1
12,Naz Brown,G,5,0,11,7.5,0.333,0,0,4,11.5,23.6,17.5,53.4,0,0,40,23.3,0,0,0,-0.047,,naz-brown-1
13,Carson Sager,G,2,0,2,-31.9,,,,0,0,0,0,0,0,0,100,25.6,0,0,0,-0.528,,carson-sager-1
14,Weston Church,G,2,0,2,0,,,,0,0,0,0,0,0,0,,0,0,0,0,-0.023,,weston-church-1
