Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Tyrece Radford,G,18,18,588,20.8,0.512,0.35,0.475,254,6.3,14.8,10.8,19.3,1.9,0.7,11.5,24.3,2,0.6,2.6,0.177,,tyrece-radford-1
2,Wade Taylor IV,G,18,18,554,24.9,0.572,0.537,0.468,304,1.4,10.4,6.1,33.7,2.8,0.2,16.9,29.8,2.5,0.6,3.1,0.223,,wade-tayloriv-1
3,Dexter Dennis,G,17,17,515,18,0.527,0.476,0.286,166,6.2,21.1,14,7.1,1.8,2.3,9.7,18.5,1.3,0.7,2.1,0.16,,dexter-dennis-1
4,Henry Coleman III,F,18,18,506,16.3,0.582,0.01,0.476,148,10.5,14.4,12.5,5,1.8,0.3,16,15.3,1.2,0.5,1.7,0.138,,henry-coleman-iii-1
5,Julius Marble,F,18,18,412,18.8,0.532,0.021,0.536,171,10,13.1,11.6,3.5,0.7,3.3,10.7,24.6,1.2,0.4,1.6,0.153,,julius-marble-2
6,Andersson Garcia,G,18,0,326,14.6,0.636,0.108,0.892,86,17.5,14.3,15.8,8.2,1.7,2.1,28.5,11.7,0.7,0.4,1.1,0.134,,andersson-garcia-1
7,Andre Gordon,G,18,1,292,7,0.443,0.455,0.273,48,2.3,11.5,7.1,11,1.9,0,22,11.3,0.1,0.3,0.3,0.047,,andre-gordon-1
8,Hayden Hefner,G,18,0,179,7.6,0.503,0.619,0.238,43,0,8.7,4.6,11.3,0.7,0.7,20.4,16.9,0.1,0.1,0.2,0.046,,hayden-hefner-1
9,Solomon Washington,F,15,0,158,16.3,0.528,0.154,0.5,40,16.8,18.2,17.5,2.5,1.9,6.8,13.4,12.1,0.4,0.2,0.6,0.154,,solomon-washington-1
10,Manny Obaseki,G,3,0,29,13.6,0.367,0.111,0.444,8,0,16.5,8.7,21.6,0,4.6,0,19.4,0,0,0.1,0.09,,manny-obaseki-1
11,Khalen Robinson,G,7,0,22,28.2,0.678,0.286,1,15,6,16.3,11.4,45.4,0,0,22.5,31.2,0.1,0,0.2,0.289,,khalen-robinson-1
12,Erik Pratt,G,2,0,7,31.8,0.6,1,0,4,0,0,0,0,0,0,0,36.8,0,0,0,0.21,,erik-pratt-1
13,Javonte Brown,C,2,0,6,12,0.333,0,0,3,44.1,0,20.9,0,0,0,0,25.8,0,0,0,0.116,,javonte-brown-1
14,Davin Watkins,G,2,0,3,34,0.526,,,1,0,0,0,0,20.1,0,0,16.3,0,0,0,0.296,,davin-watkins-1
