Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Damion Baugh,G,18,18,645,20.1,0.533,0.27,0.392,274,2.6,12.8,7.7,32.6,3,0.8,19.1,21.5,1.6,0.4,2,0.123,,damion-baugh-1
2,Emanuel Miller,F,18,18,560,19.2,0.553,0.157,0.236,210,7.8,19.9,13.8,10.2,1.8,2.7,13.5,20.4,1.3,0.4,1.6,0.118,,emanuel-miller-1
3,Mike Miles,G,13,13,443,18.9,0.595,0.296,0.478,206,0.9,9.1,5,13.2,1.9,0.7,17.7,26.7,1.1,0.1,1.2,0.112,,mike-miles-4
4,Chuck O'Bannon Jr.,G,18,14,349,13.4,0.477,0.518,0.282,95,7,10.4,8.7,7.2,2.4,4.6,9.4,15.2,0.5,0.2,0.7,0.085,,charles-obannonjr-1
5,Shahada Wells,G,18,4,315,19.9,0.548,0.383,0.202,112,2,14.8,8.4,20.4,4.1,1,15.6,19.3,0.6,0.3,0.9,0.117,,shahada-wells-1
6,JaKobe Coles,F,18,0,290,27,0.589,0.25,0.328,144,7.6,17.4,12.5,12.9,2.1,4,8.2,25.1,1.2,0.2,1.4,0.195,,jakobe-coles-1
7,Xavier Cork,F,18,8,282,15.9,0.614,0,0.586,87,7.8,12.9,10.3,5,1.2,3.8,11.9,14.9,0.7,0.1,0.9,0.121,,xavier-cork-1
8,Eddie Lampkin Jr.,C,13,10,264,14.8,0.602,0,0.431,80,11.2,18.6,14.9,9.2,1.5,2.4,28.1,16.2,0.3,0.2,0.5,0.075,,eddie-lampkinjr-1
9,Micah Peavy,G,14,4,259,13.3,0.455,0.321,0.179,85,9.9,13.5,11.7,7.6,2.8,3.7,15.7,20.8,0.1,0.2,0.4,0.054,,micah-peavy-1
10,Rondel Walker,G,14,1,142,0,0.204,0.6,0.133,15,1.8,10.9,6.4,5.4,0.8,3,5.9,11.9,-0.2,0,-0.2,-0.057,,rondel-walker-1
11,Souleymane Doumbia,C,9,0,40,5.7,0.286,0,0,6,12.9,25.9,19.4,3.9,4.2,0,22.2,11.2,0,0.1,0,0.026,,souleymane-doumbia-1
12,Tyler Lundblade,G,3,0,4,-7.6,0.256,0,2,1,0,0,0,0,0,0,0,24.3,0,0,0,-0.109,,tyler-lundblade-1
13,Darius Ford,G,2,0,1,-109.6,0,0.5,0,0,0,0,0,0,0,0,0,99.8,0,0,0,-1.38,,darius-ford-1
14,Trey Stuart,G,2,0,1,0,,,,0,0,0,0,0,0,0,,0,0,0,0,-0.021,,trey-stuart-1
15,Zach Gonsoulin,G,2,0,1,0,,,,0,0,0,0,0,0,0,,0,0,0,0,-0.021,,zach-gonsoulin-1
16,Cole Despie,G,1,0,0,,,,,,,,,,,,,,0,0,0,,,cole-despie-1
