Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Santiago Vescovi,G,17,17,555,20.9,0.582,0.676,0.216,202,2,15.3,8.6,16.4,3.1,0,11,20.8,1.7,0.9,2.6,0.19,,santiago-vescovi-1
2,Zakai Zeigler,G,17,12,484,20.1,0.483,0.604,0.195,208,1.6,8.9,5.2,43.7,3.8,1.1,17.5,23.8,1.4,0.8,2.1,0.176,,zakai-zeigler-1
3,Olivier Nkamhoua,F,18,18,429,16.2,0.504,0.162,0.169,152,7.9,16.5,12.2,11.6,1,2.5,14,23,0.8,0.6,1.3,0.124,,olivier-nkamhoua-1
4,Jonas Aidoo,F,18,7,356,20,0.578,0.088,0.15,101,10.6,22.8,16.7,10.2,1,9.3,14,14.9,0.9,0.7,1.6,0.176,,jonas-aidoo-1
5,Julian Phillips,F,14,12,340,19.1,0.612,0.236,0.569,112,7.8,15.7,11.7,11.5,1.6,1.9,16.4,17.1,1,0.5,1.5,0.177,,julian-phillips-1
6,Tyreke Key,G,15,5,336,11.5,0.444,0.533,0.219,100,4.1,9.8,7,10.4,1.1,0.4,7.2,19.7,0.5,0.3,0.9,0.105,,tyreke-key-1
7,Josiah-Jordan James,G,13,7,329,18.4,0.496,0.535,0.118,120,4.2,18.5,11.3,12.3,2.4,0,7.6,23.4,0.8,0.5,1.3,0.161,,josiah-jordan-james-1
8,Jahmai Mashack,G,18,6,289,13.2,0.425,0.238,0.333,75,9.1,8.8,9,14.7,4.4,2.7,17.1,16.1,0.3,0.5,0.8,0.114,,jahmai-mashack-1
9,Tobe Awaka,F,18,0,229,21.6,0.59,0,0.64,79,18.1,21.6,19.9,4.3,0.8,4,9.7,16.7,0.8,0.4,1.2,0.204,,tobe-awaka-1
10,Uros Plavsic,C,17,6,216,23,0.639,0,0.492,81,14,16.4,15.2,8.1,1.4,4.3,14.2,20.8,0.7,0.3,1,0.193,,uros-plavsic-1
11,B.J. Edwards,G,6,0,25,6.3,0.504,0.4,0.4,6,0,5.1,2.5,14.2,0,0,25.2,16.9,0,0,0,0.039,,bj-edwards-2
12,Isaiah Sulack,G,3,0,6,21.4,0.606,0,0.5,4,21,0,10.5,34.9,0,0,28.8,30.7,0,0,0,0.179,,isaiah-sulack-1
13,Colin Coyne,F,3,0,5,44.4,1,0,0,1,0,25.4,12.6,0,0,52.9,0,10.6,0,0,0,0.297,,colin-coyne-1
14,Kent Gilbert,G,2,0,2,65.3,,,,1,0,63.4,31.6,77.6,30.6,0,,0,0,0,0,0.594,,kent-gilbert-1
