Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Marcus Carr,G,18,18,642,19.4,0.533,0.483,0.263,279,1.2,11.2,6.2,23.1,2.4,0.2,10.3,23.1,1.9,0.3,2.1,0.132,,marcus-carr-2
2,Timmy Allen,F,18,18,551,18.5,0.543,0.06,0.52,213,3.8,19.6,11.7,18.2,2.1,1.2,15,20.3,1.3,0.4,1.7,0.124,,timmy-allen-1
3,Tyrese Hunter,G,18,18,540,12.4,0.494,0.488,0.287,181,1.9,7.9,4.9,12.9,2.1,0.6,14.7,20.6,0.6,0.1,0.8,0.058,,tyrese-hunter-1
4,Sir'Jabari Rice,G,18,0,427,27.4,0.643,0.525,0.513,234,4.3,16.3,10.2,13.6,2.2,1,11.2,26.7,2.1,0.3,2.4,0.225,,jabari-rice-1
5,Dylan Disu,F,18,18,338,23.3,0.62,0.138,0.294,145,8.9,19.4,14.1,10.6,1.5,8.9,14.5,21.9,1.1,0.3,1.4,0.17,,dylan-disu-1
6,Brock Cunningham,F,18,0,336,15.6,0.61,0.5,0.177,100,10.9,9.5,10.2,14.6,2.3,1,17.2,12.3,0.9,0.1,1.1,0.125,,brock-cunningham-1
7,Christian Bishop,F,18,0,309,16.3,0.546,0.038,0.506,109,8.9,17.3,13.1,8.6,3.3,2.9,19,19.9,0.5,0.3,0.8,0.105,,christian-bishop-1
8,Dillon Mitchell,F,18,18,306,11.2,0.508,0,0.262,56,9.4,20.9,15.1,3.9,1.8,2.9,20.3,9.9,0.2,0.2,0.5,0.061,,dillon-mitchell-1
9,Arterio Morris,G,18,0,161,10.1,0.496,0.529,0.098,48,2.4,10.8,6.6,6.9,2.1,1.4,13,19.4,0.1,0.1,0.2,0.052,,arterio-morris-1
10,Alex Anamekwe,F,3,0,4,-11.2,0,1,0,0,0,0,0,0,0,0,0,12.7,0,0,0,-0.199,,alex-anamekwe-1
11,Cole Bott,F,2,0,2,115.6,1.5,1,0,1,0,0,0,0,28,0,0,25.5,0,0,0,0.523,,cole-bott-1
12,Gavin Perryman,G,2,0,2,-32.4,0,1,0,0,0,0,0,0,0,0,0,25.5,0,0,0,-0.371,,gavin-perryman-1
