Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Jaylon Tyson,G,18,18,586,19.4,0.569,0.416,0.139,203,7.1,20.3,13.9,9.5,2.6,1.2,15.2,19.2,1.4,0.3,1.7,0.113,,jaylon-tyson-1
2,Kevin Obanor,F,18,18,581,16.9,0.564,0.42,0.5,219,9.2,16.9,13.2,3.9,0.9,1.9,17.3,21.6,1.3,0,1.3,0.09,,kevin-obanor-1
3,De'Vion Harmon,G,18,18,568,19.3,0.491,0.211,0.351,256,0.9,11.3,6.3,21.5,2.8,0.4,11.9,27.6,1.2,0.1,1.3,0.093,,devion-harmon-1
4,Pop Isaacs,G,12,11,362,13.3,0.51,0.676,0.154,141,0.4,7.2,3.9,15.7,1.5,0,15.1,24.6,0.6,-0.1,0.5,0.054,,pop-isaacs-1
5,Lamar Washington,G,18,3,296,8.4,0.462,0.377,0.302,65,1.4,12.1,6.9,16.8,3,0.8,29.2,15,0,0.1,0,0.004,,lamar-washington-1
6,Fardaws Aimaq,F,10,8,278,20.1,0.505,0.176,0.304,127,15.4,22.7,19.2,13.7,1.1,1.3,17.1,26.3,0.6,0.1,0.7,0.1,,fardaws-aimaq-1
7,Daniel Batcho,F,11,6,244,9.2,0.511,0.033,0.367,47,9.3,11.2,10.3,10.6,0.5,8.5,36.2,11.7,0,0,0,0.002,,daniel-batcho-1
8,Kerwin Walton,G,15,6,181,8.8,0.582,0.75,0.056,39,0.7,4.8,2.8,6.3,1,1.3,9.8,11.7,0.3,-0.1,0.2,0.052,,kerwin-walton-1
9,Elijah Fisher,G,14,1,177,13.9,0.521,0.237,0.342,46,6.8,15.4,11.3,5.5,2,0,10.2,14.4,0.3,0,0.3,0.078,,elijah-fisher-1
10,D'maurian Williams,G,14,0,147,6.5,0.535,0.714,0.238,23,0.9,11,6.1,5,1.6,0.8,17.6,10,0.1,0,0.1,0.02,,dmaurian-williams-1
11,Robert Jennings,F,16,1,141,13.2,0.469,0.182,0.545,43,14.2,9.7,11.8,2.8,0.4,2.6,8.8,16.8,0.3,0,0.2,0.063,,robert-jennings-1
12,KJ Allen,F,13,0,89,10.3,0.532,0.267,0.533,22,10.5,13.9,12.3,6.5,1.3,1.4,27.1,15,0,0,0,0.021,,kaelen-allen-1
13,CJ Williams,G,1,0,2,-38.1,0,0.5,0,0,0,62,32.1,0,0,0,0,51.9,0,0,0,-0.648,,cj-williams-8
