Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Terry Roberts,G,16,13,482,14.8,0.461,0.38,0.307,212,2.2,13.3,7.6,32.2,2.6,0.2,19.1,29,0.2,-0.1,0.1,0.007,,terry-roberts-3
2,Kario Oquendo,G,18,17,453,15.5,0.495,0.477,0.523,195,2.4,7.2,4.7,6.8,1.1,1.2,10.3,27.5,0.8,-0.4,0.4,0.036,,kario-oquendo-1
3,Justin Hill,G,18,7,414,18,0.526,0.331,0.543,179,2.9,9.7,6.2,30.5,1.9,0.8,18,24.2,0.9,-0.2,0.7,0.065,,justin-hill-1
4,Braelen Bridges,F,18,15,390,21.9,0.597,0,0.578,166,11.1,19.7,15.3,8,1.2,0.3,13.1,21.1,1.3,-0.1,1.2,0.125,,braelen-bridges-1
5,Jabri Abdur-Rahim,G,18,0,386,14.9,0.585,0.745,0.408,122,3.4,11.8,7.5,3,1.5,1.1,8.6,17.1,1,-0.2,0.8,0.079,,jabri-abdur-rahim-1
6,Matthew-Alexander Moncrieffe,F,18,16,358,12.2,0.478,0,0.653,105,10.4,21.1,15.6,8.3,0.8,1.5,17.6,17.1,0.3,-0.1,0.2,0.027,,matthew-alexander-moncrieffe-1
7,Jusaun Holt,G,18,8,329,8.2,0.43,0.532,0.447,52,4.7,16.5,10.5,2.5,3.5,1,16.2,10.6,0,0,0.1,0.01,,jusaun-holt-1
8,Mardrez McBride,G,17,8,329,7,0.513,0.788,0.197,67,0,7.3,3.5,7.9,1.7,0.3,20,14.1,0.1,-0.2,-0.2,-0.021,,mardrez-mcbride-1
9,Frank Anselem,C,18,3,262,12.8,0.505,0,0.55,57,9.6,19.2,14.3,2.5,1.5,4.9,13.7,11.5,0.3,0,0.3,0.049,,frank-anselem-1
10,Jailyn Ingram,F,16,2,155,3.9,0.353,0.712,0.077,38,2.3,16.3,9.1,11.5,1.1,1.4,15.6,21.2,-0.2,-0.1,-0.3,-0.077,,jailyn-ingram-1
11,Jaxon Etter,G,6,1,63,-1.3,0.225,0.714,0.571,5,3.8,10,6.8,0,0.9,0,25.2,9.7,-0.1,-0.1,-0.2,-0.108,,jaxon-etter-1
