Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Meechie Johnson Jr.,G,18,18,623,15.5,0.517,0.593,0.234,248,2,10.7,6.2,23.8,1.1,0,16.8,24.3,1.3,-0.6,0.7,0.044,,meechie-johnsonjr-1
2,GG Jackson II,F,18,15,556,13.8,0.442,0.401,0.314,229,4.3,16.3,10.1,8,1.5,2.6,15.2,31.3,0.1,-0.3,-0.2,-0.016,,gregory-jackson-ii-1
3,Jacobi Wright,G,18,10,533,11.3,0.534,0.412,0.386,138,1.7,6.2,3.9,10,1.3,0,11.8,15.2,0.9,-0.6,0.4,0.028,,jacobi-wright-1
4,Hayden Brown,F,17,17,491,16.5,0.507,0.365,0.293,189,8,11.9,9.9,11.6,2.6,0.9,15.2,24.2,0.9,-0.2,0.6,0.051,,hayden-brown-1
5,Chico Carter Jr.,G,13,13,395,10.6,0.583,0.552,0.138,99,1.3,6.7,3.9,10.6,1.1,0.3,19.2,15.4,0.5,-0.4,0.1,0.011,,chico-carterjr-1
6,Josh Gray,C,18,14,372,19.4,0.507,0.012,0.43,122,20.7,29.3,24.9,6.2,1.1,4.1,18.8,18.2,0.7,0,0.7,0.073,,josh-gray-2
7,Zachary Davis,G,18,1,266,12.3,0.531,0.513,0.282,51,2.8,15.5,9,12.3,3.4,1.6,19.9,11,0.3,0,0.2,0.036,,zachary-davis-1
8,Benjamin Bosmans-Verdonk,F,18,2,236,3.9,0.38,0,0.667,32,11.2,10.7,11,11.8,1,1.9,44.8,8,0,-0.2,-0.2,-0.04,,benjamin-bosmans-verdonk-1
9,Daniel Hankins-Sanford,F,12,0,87,11.7,0.458,0.207,0.034,26,10.2,7.6,8.9,2.8,2.1,0,11.9,20.4,0.1,-0.1,0,0.001,,daniel-hankins-sanford-1
10,Ford Cooper Jr.,G,8,0,49,2,0.45,0.9,0,8,2.6,8.1,5.3,4.1,0,0,23.1,14.1,0,-0.1,-0.1,-0.07,,ford-cooperjr-1
11,Eli Sparkman,G,7,0,48,16,1,1,0,9,5.3,13.8,9.4,0,1.3,0,14.3,7.7,0.1,0,0.1,0.082,,eli-sparkman-1
12,Tre-Vaughn Minott,C,5,0,16,16.4,0.619,0,3,2,0,16.6,8.1,0,0,13.7,0,8,0,0,0,0.043,,tre-vaughn-minott-1
13,Ja'Von Benson,F,4,0,9,-20.5,0,0.333,0,0,0,29.5,14.4,0,0,12.2,40,29.5,-0.1,0,-0.1,-0.48,,javon-benson-1
