Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Tyrin Lawrence,G,17,17,501,21.6,0.556,0.283,0.404,207,2.8,16.9,9.7,13.3,1.7,0.4,9.2,22.4,1.7,-0.2,1.4,0.115,,tyrin-lawrence-1
2,Ezra Manjon,G,18,9,491,21,0.512,0.093,0.373,206,2.4,8.9,5.5,34,1.3,0.9,8.3,20.2,1.8,-0.4,1.4,0.115,,ezra-manjon-1
3,Myles Stute,F,18,12,447,10.2,0.455,0.792,0.192,124,4.4,18.4,11.3,5.1,1.3,0.5,12.9,18.8,0.3,-0.2,0.2,0.014,,myles-stute-1
4,Trey Thomas,G,18,13,444,9.2,0.479,0.779,0.133,109,3.1,6.3,4.7,5,0.8,0,9.1,15.3,0.6,-0.5,0.1,0.007,,trey-thomas-2
5,Jordan Wright,G,17,4,385,20,0.533,0.405,0.297,172,5.1,19.8,12.3,13,2.3,0.3,14.7,26.5,1,-0.1,0.9,0.094,,jordan-wright-1
6,Liam Robbins,F,13,8,318,43.3,0.605,0.216,0.835,226,15,23.2,19,9.3,0.6,15,8.5,34.4,2.3,0.1,2.4,0.302,,liam-robbins-1
7,Quentin Millora-Brown,F,18,12,303,14,0.575,0.048,0.595,78,13.4,15.2,14.3,6.7,1.4,1.8,19.4,11.4,0.7,-0.1,0.5,0.071,,quentin-millora-brown-1
8,Colin Smith,F,18,8,266,12.1,0.53,0.69,0.19,69,7,8.6,7.8,5.6,0.7,0.4,7.3,13.2,0.6,-0.3,0.3,0.05,,colin-smith-1
9,Emmanuel Ansong,F,12,2,133,13.3,0.486,0.235,0.059,35,8.7,7.3,8,4.5,1.3,2.4,7.9,14.7,0.2,-0.1,0.1,0.039,,emmanuel-ansong-1
10,Paul Lewis,G,14,4,133,13.2,0.553,0.625,0.094,36,1.7,7.3,4.4,14.6,2.2,0,17.3,15.7,0.2,-0.1,0.1,0.034,,paul-lewis-2
11,Noah Shelby,G,9,0,82,10,0.462,0.793,0.172,24,1.4,4.4,2.9,0,0.7,0,3.1,20.3,0.1,-0.1,0,0.01,,noah-shelby-1
12,Malik Dia,F,7,0,67,7.2,0.365,0.423,0,19,8.7,7.2,8,0,3.5,6.3,16.1,23.8,-0.1,0,-0.1,-0.052,,malik-dia-1
13,Lee Dort,F,3,0,32,37.7,0.796,0,0.375,15,25.4,18.9,22.2,7.8,0,10,9.6,16.8,0.2,0,0.2,0.252,,lee-dort-1
14,Miles Keeffe,G,2,1,12,2.6,0.339,1,1,2,0,0,0,0,0,0,0,12.7,0,0,0,-0.059,,miles-keeffe-1
15,Graham Calton,G,2,0,10,-2,0,1,0,1,11.6,0,5.9,0,0,0,0,5.2,0,0,0,-0.085,,graham-calton-1
16,Adrian Samuels,G,1,0,3,0,,,,0,0,0,0,0,0,0,,0,0,0,0,-0.063,,adrian-samuels-1
