Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,Awards,Player-additional
1,Tre Mitchell,C,18,18,580,15.4,0.545,0.333,0.346,197,6.6,18.5,12.3,11,1.3,3,18,18.9,1.1,0.1,1.2,0.086,,tre-mitchell-1
2,Kedrian Johnson,G,17,17,541,16.4,0.557,0.34,0.695,214,2.1,6.9,4.4,19.2,3.1,0.2,20,21.4,1.3,0,1.3,0.1,,kedrian-johnson-1
3,Emmitt Matthews Jr.,F,18,18,524,17.7,0.554,0.32,0.299,178,6.8,12.1,9.3,8.1,1.1,2.7,10.6,17.7,1.4,0,1.3,0.103,,emmitt-matthewsjr-1
4,Erik Stevenson,G,18,18,480,19,0.507,0.478,0.223,260,2.9,15.5,8.9,21.7,2.1,0.2,14.4,32.9,1.3,0.1,1.3,0.11,,erik-stevenson-1
5,Joe Toussaint,G,18,1,372,16.6,0.518,0.462,0.641,163,3.1,14.8,8.7,21.9,1.5,0,14.6,23.7,1.1,0,1.1,0.114,,joe-toussaint-1
6,Jimmy Bell Jr.,F,18,18,337,10.8,0.51,0,1.268,84,15.4,17.2,16.3,4.3,1.4,2.6,28.4,13.5,0.3,0.1,0.3,0.04,,jimmy-belljr-1
7,Seth Wilson,G,18,0,236,12.1,0.514,0.649,0,65,1.6,6.4,3.9,6.2,1.2,0,3.9,16.1,0.5,-0.1,0.4,0.068,,seth-wilson-1
8,James Okonkwo,F,16,0,179,18.9,0.616,0.04,1.04,50,15.6,28.5,21.8,1.1,0.6,7.4,17.6,12.5,0.4,0.1,0.5,0.122,,james-okonkwo-1
9,Mohamed Wague,F,15,0,143,23.6,0.659,0,0.852,56,26.6,19.3,23.1,3,1.6,6.9,22.5,16.9,0.5,0.1,0.6,0.157,,mohamed-wague-1
10,Kobe Johnson,G,14,0,125,5.4,0.442,0.222,0.278,18,1,11,5.8,5.9,0.9,1.8,19.7,10,0,0,0,-0.012,,kobe-johnson-2
11,Pat Suemnick,F,13,0,80,13,0.518,0.133,0.333,20,12.7,17.2,14.9,5,1.4,1.4,18.7,13.2,0.1,0,0.1,0.051,,pat-suemnick-1
12,Josiah Harris,F,6,0,31,22.1,0.685,0.6,0.2,13,4.1,4.4,4.3,14.6,1.8,0,8.4,19.1,0.2,0,0.1,0.191,,josiah-harris-1
13,Jamel King,F,2,0,4,76,1.25,0.5,0,2,0,34.5,16.5,0,14.3,0,33.3,37.1,0,0,0,0.219,,jamel-king-1
14,Josiah Davis,G,1,0,2,0,,,,0,0,0,0,0,0,0,,0,0,0,0,-0.034,,josiah-davis-1
